[[84, 25, 12, 2], 0.0001, 1, 0.87800592, 0.88364929]
[[84, 25, 12, 2], 0.0001, 0.95, 0.87800592, 0.88364929]
[[84, 25, 12, 2], 0.0001, 0.9, 0.87800592, 0.88364929]
[[84, 25, 12, 2], 0.0001, 0.85, 0.87800592, 0.88364929]
[[84, 25, 12, 2], 0.0001, 0.8, 0.87800592, 0.88364929]
[[84, 25, 12, 2], 0.009, 1, 0.87800592, 0.88364929]
[[84, 25, 12, 2], 0.009, 0.95, 0.87800592, 0.88364929]
[[84, 25, 12, 2], 0.009, 0.9, 0.87800592, 0.88364929]
[[84, 25, 12, 2], 0.009, 0.85, 0.87800592, 0.88364929]
[[84, 25, 12, 2], 0.009, 0.8, 0.87800592, 0.88364929]
[[84, 25, 12, 2], 0.005, 1, 0.87800592, 0.88364929]
[[84, 25, 12, 2], 0.005, 0.95, 0.87800592, 0.88364929]
[[84, 25, 12, 2], 0.005, 0.9, 0.87800592, 0.88364929]
[[84, 25, 12, 2], 0.005, 0.85, 0.87800592, 0.88364929]
[[84, 25, 12, 2], 0.005, 0.8, 0.87800592, 0.88364929]
[[84, 25, 12, 2], 0.001, 1, 0.87800592, 0.8834123]
[[84, 25, 12, 2], 0.001, 0.95, 0.87800592, 0.88364929]
[[84, 25, 12, 2], 0.001, 0.9, 0.87800592, 0.88364929]
[[84, 25, 12, 2], 0.001, 0.85, 0.87800592, 0.88364929]
[[84, 25, 12, 2], 0.001, 0.8, 0.87800592, 0.88364929]
[[84, 25, 12, 2], 0.09, 1, 0.87800592, 0.88364929]
[[84, 25, 12, 2], 0.09, 0.95, 0.87800592, 0.88364929]
[[84, 25, 12, 2], 0.09, 0.9, 0.87800592, 0.88364929]
[[84, 25, 12, 2], 0.09, 0.85, 0.87800592, 0.88364929]
[[84, 25, 12, 2], 0.09, 0.8, 0.87800592, 0.88364929]
[[84, 25, 12, 2], 0.05, 1, 0.87800592, 0.88364929]
[[84, 25, 12, 2], 0.05, 0.95, 0.87800592, 0.88364929]
[[84, 25, 12, 2], 0.05, 0.9, 0.87800592, 0.88364929]
[[84, 25, 12, 2], 0.05, 0.85, 0.87800592, 0.88364929]
[[84, 25, 12, 2], 0.05, 0.8, 0.87800592, 0.88364929]
[[84, 25, 12, 2], 0.01, 1, 0.87800592, 0.88364929]
[[84, 25, 12, 2], 0.01, 0.95, 0.87800592, 0.88364929]
[[84, 25, 12, 2], 0.01, 0.9, 0.87800592, 0.88364929]
[[84, 25, 12, 2], 0.01, 0.85, 0.87800592, 0.88364929]
[[84, 25, 12, 2], 0.01, 0.8, 0.87800592, 0.88364929]
[[84, 25, 12, 2], 0.9, 1, 0.87800592, 0.88364929]
[[84, 25, 12, 2], 0.9, 0.95, 0.87800592, 0.88364929]
[[84, 25, 12, 2], 0.9, 0.9, 0.87800592, 0.88364929]
[[84, 25, 12, 2], 0.9, 0.85, 0.87800592, 0.88364929]
[[84, 25, 12, 2], 0.9, 0.8, 0.87800592, 0.88364929]
[[84, 25, 12, 2], 0.5, 1, 0.87800592, 0.88364929]
[[84, 25, 12, 2], 0.5, 0.95, 0.87800592, 0.88364929]
[[84, 25, 12, 2], 0.5, 0.9, 0.87800592, 0.88364929]
[[84, 25, 12, 2], 0.5, 0.85, 0.87800592, 0.88364929]
[[84, 25, 12, 2], 0.5, 0.8, 0.87800592, 0.88364929]
[[84, 25, 12, 2], 0.1, 1, 0.87800592, 0.88364929]
[[84, 25, 12, 2], 0.1, 0.95, 0.87800592, 0.88364929]
[[84, 25, 12, 2], 0.1, 0.9, 0.87800592, 0.88364929]
[[84, 25, 12, 2], 0.1, 0.85, 0.87800592, 0.88364929]
[[84, 25, 12, 2], 0.1, 0.8, 0.87800592, 0.88364929]
